title,magnitude,date,time,cdi,mmi,alert,tsunami,sig,dmin,gap,depth,latitude,longitude,location,continent,country
M 7.2,7.2,14/07/2019,9:10:00 AM,7,7,green,1,809,1.504,38,18.98,-0.5858,128.034,Laiwui- Indonesia,Asia,Indonesia
M 6.6,6.6,14/07/2019,5:39:00 AM,5,5,green,0,791,2.978,32,10,-18.2242,120.358,Broome- Australia,Oceania,Australia
M 6.9,6.9,7/7/2019,3:08:00 AM,7,5,green,0,747,1.205,21,35,0.5126,126.189,Kota Ternate- Indonesia,Asia,Indonesia
M 7.1,7.1,6/7/2019,3:19:00 AM,9,9,yellow,0,1646,0.04616,43,8,35.7695,-117.599,Searles Valley- CA,North America,USA
M 7.3,7.3,24/06/2019,2:53:00 AM,4,6,green,1,952,2.629,16,212,-6.4078,129.169,Saumlaki- Indonesia,Asia,Indonesia
M 7.3,7.3,15/06/2019,10:55:00 PM,8,6,green,1,830,1.402,11,46,-30.6441,-178.1,L'Esperance Rock- New Zealand,Oceania,New Zealand
M 6.6,6.6,30/05/2019,9:03:00 AM,7,6,yellow,1,886,1.193,22,57.92,13.1994,-89.3056,La Libertad- El Salvador,Central America,El Salvador
M 8.0,8,26/05/2019,7:41:00 AM,9,8,orange,1,1890,3.18,17,122.57,-5.8119,-75.2697,Navarro- Peru,South America,Peru
M 7.6,7.6,14/05/2019,12:58:00 PM,7,7,green,1,929,0.453,16,10,-4.051,152.597,Namatanai- Papua New Guinea,Oceania,Papua New Guinea
M 7.1,7.1,6/5/2019,9:19:00 AM,7,6,yellow,1,826,2.514,16,146,-6.9746,146.449,Bulolo- Papua New Guinea,Oceania,Papua New Guinea
M 6.8,6.8,12/4/2019,11:40:00 AM,5,6,green,1,717,0.791,28,15.46,-1.8146,122.58,Luwuk- Indonesia,Asia,Indonesia
M 6.5,6.5,9/4/2019,5:53:00 AM,0,5,green,1,650,7.568,18,38,-58.6262,-25.304,Bristol Island- South Sandwich Islands,Europe,United Kingdom
M 7.0,7,1/3/2019,8:50:00 AM,7,4,green,1,869,2.501,42,267,-14.7131,-70.1546,Azángaro- Peru,South America,Peru
M 7.5,7.5,22/02/2019,10:17:00 AM,7,7,yellow,1,1145,2.045,15,145,-2.1862,-77.0505,Palora- Ecuador,South America,Ecuador
M 6.7,6.7,1/2/2019,4:14:00 AM,6,6,yellow,1,909,0.289,43,66,14.6802,-92.4527,Puerto Madero- Mexico,North America,Mexico
M 6.7,6.7,22/01/2019,7:01:00 PM,0,3,green,0,691,7.527,17,13,-43.1219,42.3568,Prince Edward Islands region,North America,USA
M 6.7,6.7,20/01/2019,1:32:00 AM,8,8,orange,1,1600,0.173,22,63,-30.0404,-71.3815,Coquimbo- Chile,South America,Chile
M 6.6,6.6,15/01/2019,6:06:00 PM,5,4,green,1,671,7.818,18,35,-13.336,166.875,Sola- Vanuatu,Oceania,Vanuatu
M 6.6,6.6,6/1/2019,5:27:00 AM,2,4,green,1,672,1.596,33,43.21,2.258,126.758,Molucca Sea,Asia,Indonesia
M 6.8,6.8,5/1/2019,7:25:00 AM,3,3,green,0,715,1.181,16,570.41,-8.144,-71.587,Tarauaca- Brazil,South America,Brazil
M 7.0,7,29/12/2018,3:39:00 AM,5,5,green,1,803,1.769,21,60.21,5.8983,126.921,Pondaguitan- Philippines,Asia,Philippines
M 7.3,7.3,20/12/2018,5:01:00 PM,3,7,green,1,822,4.126,23,16.56,55.0999,164.699,Ust?-Kamchatsk Staryy- Russia,Asia,Russia
M 7.1,7.1,11/12/2018,2:26:00 AM,0,5,green,1,776,7.043,20,133,-58.5446,-26.3856,South Sandwich Islands region,South America,South Georgia
M 6.6,6.6,5/12/2018,6:43:00 AM,0,4,green,1,670,2.679,31,10,-22.0629,169.733,Tadine- New Caledonia,Oceania,New Caledonia
M 7.5,7.5,5/12/2018,4:18:00 AM,3,6,green,1,871,2.405,18,10,-21.9496,169.427,Tadine- New Caledonia,Oceania,New Caledonia
M 7.1,7.1,30/11/2018,5:29:00 PM,8,8,orange,1,1790,0,0,46.7,61.3464,-149.955,Point MacKenzie- Alaska,North America,USA
M 6.8,6.8,18/11/2018,8:25:00 PM,0,3,green,1,711,2.879,39,540,-17.8735,-178.927,Levuka- Fiji,Oceania,Fiji
M 6.7,6.7,9/11/2018,1:49:00 AM,3,4,green,1,693,7.853,19,10,71.6312,-11.2431,Olonkinbyen- Svalbard and Jan Mayen,Europe,Greeland
M 6.8,6.8,25/10/2018,10:54:00 PM,8,7,yellow,0,954,2.268,15,14,37.5203,20.5565,Lithakiá- Greece,Europe,Greece
M 6.5,6.5,22/10/2018,6:22:00 AM,2,4,green,0,655,1.692,68,10,49.297,-129.724,Port McNeill- Canada,North America,Canada
M 6.8,6.8,22/10/2018,6:16:00 AM,4,4,green,1,776,1.505,36,10,49.3346,-129.289,Port McNeill- Canada,North America,Canada
M 6.5,6.5,22/10/2018,5:39:00 AM,3,4,green,1,669,1.611,63,10,49.2586,-129.412,Port McNeill- Canada,North America,Canada
M 6.5,6.5,16/10/2018,1:03:00 AM,0,4,green,1,650,2.109,22,17,-21.7427,169.522,Tadine- New Caledonia,Oceania,New Caledonia
M 6.7,6.7,13/10/2018,11:10:00 AM,0,3,green,1,691,2.705,17,461,52.8549,153.243,Ozernovskiy- Russia,Asia,Russia
M 6.5,6.5,10/10/2018,11:16:00 AM,0,4,green,1,650,3.923,14,20,49.2902,156.297,Severo-Kuril?sk- Russia,Asia,Russia
M 7.0,7,10/10/2018,8:48:00 AM,6,6,green,1,758,1.778,18,39,-5.7012,151.205,Kimbe- Papua New Guinea,Oceania,Papua New Guinea
M 6.7,6.7,30/09/2018,10:52:00 AM,2,3,green,1,691,3.745,23,550,-18.3604,-178.063,Levuka- Fiji,Oceania,Fiji
M 7.5,7.5,28/09/2018,10:02:00 AM,8,8,red,0,2026,1.649,13,20,-0.2559,119.846,Palu- Indonesia,Asia,Indonesia
M 6.5,6.5,16/09/2018,9:11:00 PM,4,1,green,0,651,5.139,18,576,-25.415,178.199,the Fiji Islands,Oceania,Fiji
M 6.9,6.9,10/9/2018,4:19:00 AM,3,4,green,0,735,2.785,18,115,-31.7447,-179.373,Kermadec Islands region,Oceania,New Zealand
M 6.5,6.5,9/9/2018,7:31:00 AM,3,6,green,1,651,1.638,25,68,-10.0207,161.503,Kirakira- Solomon Islands,Oceania,Solomon Islands
M 7.9,7.9,6/9/2018,3:49:00 AM,7,4,green,1,979,1.431,12,670.81,-18.4743,179.35,Levuka- Fiji,Oceania,Fiji
M 6.6,6.6,5/9/2018,6:07:00 AM,8,9,orange,1,1075,1.13,32,35,42.6861,141.929,Chitose- Japan,Asia,Japan
M 7.1,7.1,29/08/2018,3:51:00 AM,2,5,green,1,776,2.548,23,21.43,-22.0295,170.126,Tadine- New Caledonia,Oceania,New Caledonia
M 7.1,7.1,24/08/2018,9:04:00 AM,0,3,green,0,776,3.77,12,630,-11.0355,-70.8284,IĄapari- Peru,South America,Peru
M 6.5,6.5,21/08/2018,10:32:00 PM,6,7,green,1,652,4.797,10,9,-16.0315,168.143,Lakatoro- Vanuatu,Oceania,Vanuatu
M 7.3,7.3,21/08/2018,9:31:00 PM,8,6,yellow,1,1570,1.822,15,146.82,10.7731,-62.9019,Carúpano- Venezuela,South America,Venezuela
M 6.9,6.9,19/08/2018,2:56:00 PM,7,7,green,0,1206,2.453,31,21,-8.319,116.627,Labuan Lombok- Indonesia,Asia,Indonesia
M 8.2,8.2,19/08/2018,12:19:00 AM,5,4,green,1,1050,3.63,13,600,-18.1125,-178.153,Levuka- Fiji,Oceania,Fiji
M 6.5,6.5,17/08/2018,3:35:00 PM,5,3,green,0,743,2.719,23,529,-7.3718,119.802,Labuan Bajo- Indonesia,Asia,Indonesia
M 6.5,6.5,15/08/2018,9:56:00 PM,6,6,green,1,655,0.576,22,33.93,51.4234,-178.026,Adak- Alaska,North America,USA
M 6.9,6.9,5/8/2018,11:46:00 AM,9,8,orange,0,1704,2.271,15,34,-8.2581,116.438,Labuan Lombok- Indonesia,Asia,Indonesia
M 6.9,6.9,4/5/2018,10:32:00 AM,7,8,yellow,1,1392,0.11,210,5.81,19.3182,-155,Leilani Estates- Hawaii,Oceania,USA
M 6.8,6.8,2/4/2018,1:40:00 AM,5,3,green,0,733,5.32,16,559,-20.6588,-63.0058,Boyuibe- Bolivia,South America,Bolivia
M 6.9,6.9,29/03/2018,9:25:00 PM,9,6,green,1,741,1.487,18,35,-5.5321,151.5,Kimbe- Papua New Guinea,Oceania,Papua New Guinea
M 6.7,6.7,26/03/2018,9:51:00 AM,5,6,green,1,696,1.507,15,40,-5.5024,151.402,Kimbe- Papua New Guinea,Oceania,Papua New Guinea
M 6.8,6.8,8/3/2018,5:39:00 AM,6,6,green,1,719,1.049,16,22.86,-4.3762,153.2,Kokopo- Papua New Guinea,Oceania,Papua New Guinea
M 6.7,6.7,6/3/2018,2:13:00 AM,8,7,green,1,697,5.457,19,20.49,-6.3043,142.612,Tari- Papua New Guinea,Oceania,Papua New Guinea
M 7.5,7.5,25/02/2018,5:44:00 PM,9,8,yellow,1,943,5.48,17,25.21,-6.0699,142.754,Tari- Papua New Guinea,Oceania,Papua New Guinea
M 7.2,7.2,16/02/2018,11:39:00 PM,7,7,yellow,1,1384,0.142,82,22,16.3855,-97.9787,Pinotepa de Don Luis- Mexico,North America,Mexico
M 7.9,7.9,23/01/2018,9:31:00 AM,9,4,green,1,1870,2.585,30,14.06,56.0039,-149.166,Chiniak- Alaska,North America,USA
M 7.1,7.1,14/01/2018,9:18:00 AM,9,7,green,1,1075,4.29,23,39,-15.7675,-74.7092,Atiquipa- Peru,South America,Peru
M 7.5,7.5,10/1/2018,2:51:00 AM,8,5,green,1,1623,4.581,12,19,17.4825,-83.52,Barra Patuca- Honduras,Central America,Honduras
M 6.5,6.5,15/12/2017,4:47:00 PM,8,7,green,0,998,2.365,28,90,-7.4921,108.174,Kawalu- Indonesia,Asia,Indonesia
M 6.5,6.5,13/12/2017,6:03:00 PM,1,5,green,1,651,17.654,23,17,-54.2189,2.1628,Bouvet Island region,Europe,Norway
